"Term [en]","Description [en]","Part of Speech [en]","Status [en]","Type [en]","Note [en]","Term [pl]","Description [pl]","Part of Speech [pl]","Status [pl]","Type [pl]","Note [pl]"
Captain,"Head of the station.",NOUN,PREFERRED,FULL_FORM,,Kapitan,,,,,
Cap,"Abbreviation of Captain.",NOUN,PREFERRED,ABBREVIATION,,Kap,,,,,
"Head of Personnel","Command; civilian department head.",NOUN,PREFERRED,FULL_FORM,,"Kierownik Personelu",,,,,
HoP,"Abbreviation of Head of Personnel.",NOUN,PREFERRED,ABBREVIATION,"Not the full title.",KP,,,,,
HOP,"All-caps HoP (beacons).",NOUN,PREFERRED,ABBREVIATION,,KP,,,,,
"Head of Security","Command; security department head.",NOUN,PREFERRED,FULL_FORM,,Komendant,,,,,
HoS,"Abbreviation of Head of Security.",NOUN,PREFERRED,ABBREVIATION,,KD,,,,,
HOS,"All-caps HoS (beacons).",NOUN,PREFERRED,ABBREVIATION,,KD,,,,,
"Chief Engineer","Command; engineering department head.",NOUN,PREFERRED,FULL_FORM,,"Główny Inżynier",,,,,
CE,"Abbreviation of Chief Engineer.",NOUN,PREFERRED,ABBREVIATION,"Not the full title.",GI,,,,,
"Chief Medical Officer","Command; medical department head.",NOUN,PREFERRED,FULL_FORM,,Ordynator,,,,,
CMO,"Abbreviation of Chief Medical Officer.",NOUN,PREFERRED,ABBREVIATION,,OD,,,,,
"Research Director","Command; science department head.",NOUN,PREFERRED,FULL_FORM,,"Kierownik Badań",,,,,
RD,"Abbreviation of Research Director.",NOUN,PREFERRED,ABBREVIATION,"Not the full title.",KB,,,,,
Quartermaster,"Command; cargo department head. ID title.",NOUN,PREFERRED,FULL_FORM,,Kwatermistrz,,,,,
QM,"Abbreviation of Quartermaster.",NOUN,PREFERRED,ABBREVIATION,"Not KW.",KM,,,,,
"Station Engineer","Engineering crew.",NOUN,PREFERRED,FULL_FORM,,"Inżynier Stacji",,,,,
Engi,"Abbreviation of engineer / engineering.",NOUN,PREFERRED,ABBREVIATION,,Inż,,,,,
"Atmospheric Technician","Engineering; atmospherics.",NOUN,PREFERRED,FULL_FORM,Atmos.,"Technik Atmosferyki",,,,,
Atmos,"Short for atmospherics / Atmospheric Technician. Keep.",NOUN,PREFERRED,ABBREVIATION,,Atmos,,,,,
"Technical Assistant","Engineering intern.",NOUN,PREFERRED,FULL_FORM,,"Pomocnik Techniczny",,,,,
"Medical Doctor","Medical crew.",NOUN,PREFERRED,FULL_FORM,,"Doktor Medyczny",,,,,
"Medical Intern","Medical intern.",NOUN,PREFERRED,FULL_FORM,,"Stażysta Medyczny",,,,,
Chemist,"Medical; chemistry.",NOUN,PREFERRED,FULL_FORM,,Chemik,,,,,
Paramedic,"Medical; field response.",NOUN,PREFERRED,FULL_FORM,,Ratownik,,,,,
